# symbol	expected_crc
drm_gem_fb_create_handle	0x9833b3b5
drm_gem_fb_destroy	0x6d312776
drm_gem_fb_get_obj	0x6bee7f12
drm_get_edid	0xb4d0f15c
drm_helper_mode_fill_fb_struct	0x1278591e
drm_helper_probe_single_connector_modes	0x29b4b697
drm_kms_helper_poll_disable	0xe83f32d0
drm_kms_helper_poll_enable	0x1ba4614b
drm_kms_helper_poll_fini	0x4c6539d4
drm_kms_helper_poll_init	0x6cb3eab3
drm_mode_object_find	0x94f476db
drm_mode_object_get	0xf6d4f458
drm_mode_object_put	0xe1fdd1de
drm_mode_probed_add	0x5978683d
drm_modeset_lock_all_ctx	0x08d1cb9b
drm_object_attach_property	0x90561633
drm_object_property_set_value	0xada7a281
drm_panel_add	0xb9218956
drm_panel_init	0x0e25b0de
drm_panel_remove	0x860ba323
drm_plane_cleanup	0x217867db
drm_plane_create_rotation_property	0x6c8212e8
drm_set_preferred_mode	0x6ffbe3c3
drm_universal_plane_init	0xbab1dfce
dst_release	0xea7dbe01
eth_mac_addr	0x15ca27c5
eth_type_trans	0xbcf0a7e0
ether_setup	0x20d62183
fd_install	0x97f4d63b
fget	0x3a6170cf
find_vpid	0x1273c714
free_netdev	0x86dc89c0
fwnode_find_reference	0xa305d3cc
fwnode_get_next_child_node	0x3174f167
fwnode_handle_get	0x644a6a4f
fwnode_handle_put	0x6eabe73b
fwnode_property_present	0xb2048a05
fwnode_property_read_string	0xf5821fcb
fwnode_property_read_u32_array	0xa25d5d9d
genl_register_family	0xfb04aaa3
genl_unregister_family	0x8bb69f5e
genlmsg_multicast_allns	0xfcbf01bd
genlmsg_put	0xc958e49d
get_device	0x13fca8b1
get_net_ns_by_fd	0x0d8f872c
get_net_ns_by_pid	0x78a69b54
get_pid_task	0xbc24e309
get_task_pid	0x806ce477
gro_cells_init	0x3f534a5d
gro_cells_receive	0xf79afb17
inet_csk_get_port	0x5f5b580c
init_dummy_netdev	0x0114f146
init_net	0x49f4e661
iommu_dma_enable_best_fit_algo	0x3b5c9384
iommu_dma_get_resv_regions	0xdb7faf5b
iommu_get_msi_cookie	0x4b0f89f7
iommu_put_dma_cookie	0xd8813281
ip_route_output_flow	0x5077ac8a
ipv6_skip_exthdr	0x0a3abf63
ipv6_stub	0xe4ec6265
iterate_fd	0xca27c3a5
kernel_bind	0x6624074f
kernel_connect	0xda37c1cc
kernel_getsockname	0x318b7ae4
kernel_kobj	0x38995cd2
kernel_recvmsg	0x04cba90e
kernel_sendmsg	0x3ea80216
kfree_skb	0x3387eaf7
kobject_uevent	0x9003ee04
kobject_uevent_env	0x16a8916e
lock_sock_nested	0x7f9a0a13
napi_complete_done	0x1adcbe59
napi_disable	0x855c7030
napi_enable	0x814ea9e4
napi_gro_flush	0x867aca01
napi_gro_receive	0x70dc95a8
napi_schedule_prep	0xaea9b9c4
neigh_destroy	0x5b9af7c0
neigh_resolve_output	0x263ad084
net_ns_type_operations	0x67a4d996
netdev_err	0xba0644ae
netdev_rx_handler_register	0xead7afa1
netdev_rx_handler_unregister	0x0eb2621b
netdev_update_features	0x4e9c0fae
netif_carrier_off	0x533f4833
netif_carrier_on	0x10229dce
netif_device_attach	0x27b8245b
netif_device_detach	0x273edf0c
netif_napi_add	0x6baaaa36
netif_receive_skb	0x0825a356
netif_rx	0x3a829981
netif_rx_ni	0x2880f4f8
netif_schedule_queue	0xf0e523d5
netif_tx_stop_all_queues	0x286b665d
netif_tx_wake_queue	0xf6d62a24
netlink_broadcast	0x9f0f7f81
netlink_kernel_release	0xb2f3fd98
netlink_unicast	0x6bf34f33
of_drm_find_bridge	0xf3479c1b
of_drm_find_panel	0xfae89156
perf_event_create_kernel_counter	0xfd6838d6
perf_event_enable	0xc4b48c65
perf_event_read_local	0xce204699
perf_event_read_value	0xa5d7023f
perf_event_release_kernel	0x19295440
perf_pmu_register	0xf7b11eb8
perf_pmu_unregister	0x26cdb52d
perf_trace_run_bpf_submit	0x7ff5b9fd
proto_register	0x59f4dc19
proto_unregister	0xf8288424
pskb_expand_head	0x7f577cb4
put_device	0x313a6dce
put_pid	0x16dd6f02
register_netdev	0x96cc121a
register_netdevice	0xe8772eaf
register_pernet_device	0x62812e41
release_sock	0x01cab7cf
rtnl_link_register	0x84154d8f
rtnl_link_unregister	0xbbd02329
rtnl_unicast	0xba7c984c
sdhci_add_host	0xb1442b8a
sdhci_cleanup_host	0xddf06ad3
